dtime,yaw,pitch,roll,q0,q1,q2,q3
"2021/10/15 09:44:06",1.65754021084,9.6252223798,-27.2199807443,0.968106508255,-0.235636875033,0.0781412050128,0.0337484553456
"2021/10/15 09:44:38",1.03540459177,9.2616848007,-27.1537400944,0.968671858311,-0.234682947397,0.0763620361686,0.0277061834931
"2021/10/15 09:45:08",0.571175595356,8.35949499795,-26.6307775019,0.970433115959,-0.230049222708,0.0697804912925,0.0216237008572
"2021/10/15 09:45:38",0.177357280346,6.97869573243,-25.6813874329,0.973162174225,-0.221920609474,0.058997489512,0.0150324627757
"2021/10/15 09:46:08",-0.371188064093,5.42349911688,-24.2979927938,0.976536035538,-0.210068047047,0.0469323918223,0.00679369969293
"2021/10/15 09:46:22",-0.682266908013,4.69750021722,-23.5416167276,0.978181421757,-0.203583434224,0.0413329936564,0.00253628892824
"2021/10/15 09:47:09",-1.80086411837,2.24600122293,-20.388493073,0.983957350254,-0.176626935601,0.0220677964389,-0.0119955185801
"2021/10/15 09:47:39",-2.34277973972,0.827715633181,-18.1851947029,0.987225472927,-0.15784753859,0.0103614265099,-0.0190445408225
"2021/10/15 09:48:10",-2.73409874936,-0.592145042833,-15.9474269341,0.990019619465,-0.138799518347,-0.00180659734178,-0.0243428908288
"2021/10/15 09:48:40",-3.16385512722,-1.94803298288,-13.8788400625,0.992096066475,-0.121222183108,-0.0135331060737,-0.0294531770051
"2021/10/15 09:49:11",-3.75242670808,-3.36506460174,-11.7778409574,0.993662118912,-0.103457197547,-0.0258331932127,-0.0355643071234
"2021/10/15 09:49:41",-4.39758328375,-4.72594600149,-9.87007039904,0.994576692581,-0.087465710938,-0.03774914518,-0.0417362451553
"2021/10/15 09:50:12",-4.88179745168,-6.08749875618,-8.00413439319,0.995092570782,-0.0718866586685,-0.0499527417123,-0.0461275577545
"2021/10/15 09:50:41",-5.10682179817,-7.32168175829,-6.35030299078,0.995280623436,-0.0580607913435,-0.0612263865769,-0.0479245781898
"2021/10/15 09:51:12",-5.09857893225,-8.50480402192,-4.66639175808,0.995299935341,-0.0438538268209,-0.0722097232938,-0.047335319221
